id,年,月,17業種コード,33業種コード,規模コード,売上高,収益,経常利益,営業利益,当期純利益,税引前利益,包括利益,純資産額,総資産額,現金及び現金同等物の期末残高,従業員数,最低株価,最高株価,株主総利回り,株主資本比率,株価収益率,発行済株式総数,自己資本利益率,自己資本比率,財務活動によるキャッシュ・フロー,営業活動によるキャッシュ・フロー,投資活動によるキャッシュ・フロー,基本的1株当たり当期利益,基本的1株当たり親会社の所有者に帰属する当期利益,希薄化後１株当たり当期利益,希薄化後１株当たり当社株主に帰属する当期純利益,１株当たり当期純利益,１株当たり当社株主に帰属する当期純利益,１株当たり株主資本,１株当たり潜在株式調整後当期純利益金額,１株当たり純資産額,１株当たり親会社所有者帰属持分,１株当たり配当額親会社の所有者に帰属する当期利益,親会社の所有者に帰属する当期包括利益,親会社の所有者に帰属する持分,親会社所有者帰属持分当期利益率,親会社所有者帰属持分比率,親会社株主に帰属する当期純利益,資本金,配当性向
103,2016,3,13,6050,1,1098877.0,6925582.0,,,,,-788323.0,,14916256.0,1500960.0,68247.0,,,,,,,,,-364528.0,700105.0,-503854.0,,-93.68,,-93.68,,,,,,2898.23,,,4592516.0,-2.9,30.8,-149395.0,,
103,2017,3,13,6050,1,1328638.0,6425761.0,,,,,452465.0,,15753557.0,1145514.0,77164.0,,,8.66,,,,,,-752162.0,583004.0,-179585.0,,277.79,,277.16,,,,,,3101.43,,,4917247.0,9.3,31.2,440293.0,,
103,2018,3,13,6050,1,1886640.0,7567394.0,,,,,559636.0,,16036989.0,1005461.0,77476.0,,,8.1,,,,,,-554328.0,742482.0,-317583.0,,353.27,,352.44,,,,,,3362.34,,,5332427.0,10.9,33.3,560173.0,,
103,2019,3,13,6050,1,1987811.0,16103763.0,,,,,565130.0,,16532800.0,1160582.0,79994.0,,,8.25,,,,,,-227480.0,652681.0,-273687.0,,372.39,,371.55,,,,,,3589.37,,,5696246.0,10.7,34.5,590737.0,,
104,2015,3,17,8050,1,,1110259.0,133113.0,,,,206650.0,1640163.0,4901526.0,198489.0,8388.0,,,52.73,,,,5.2,30.5,-189109.0,200078.0,-46568.0,,,,,52.85,,,52.84,1078.11,,,,,,,,,
104,2016,3,17,8050,1,,1009408.0,144851.0,,,,51633.0,1659180.0,5311840.0,412392.0,8474.0,,,34.77,,,,5.6,28.4,309237.0,135821.0,-231003.0,,,,,60.13,,,60.12,1088.11,,,,,,,,,
104,2017,3,17,8050,1,,1125405.0,169851.0,,,,122247.0,1767460.0,5484115.0,243341.0,8642.0,,,27.43,,,,6.6,29.0,-4921.0,168527.0,-327292.0,,,,,74.0,,,73.98,1147.8,,,,,,,,,
104,2018,3,17,8050,1,,1194049.0,190506.0,,,,153461.0,1879088.0,5801450.0,286859.0,8856.0,,,20.72,,,,7.3,29.3,37203.0,293338.0,-286841.0,,,,,86.78,,,86.76,1223.58,,,,,,,,,
104,2019,3,17,8050,1,,1263283.0,206587.0,,,,127778.0,1957105.0,5774193.0,179308.0,9439.0,,,20.68,,,,7.8,30.7,-192473.0,345954.0,-271083.0,,,,,96.97,,,96.96,1275.54,,,,,,,,,
105,2015,3,6,3700,4,2180728.0,,151616.0,,,,148035.0,670766.0,1582802.0,395526.0,30498.0,,,9.03,,,,19.71,41.61,-131494.0,177008.0,-71327.0,,,,,120.16,,,,,,,,,,,,,
